name,tags,steps,description,ingredients,recipe_steps,standard_format,metric_conversion
payday  candy bar squares,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'for-large-groups', '5-ingredients-or-less', 'desserts', 'fruit', 'easy', 'no-cook', 'potluck', 'picnic', 'candy', 'nuts', 'dietary', 'high-protein', 'high-in-something', 'to-go', 'number-of-servings', 'technique']","['put half the peanuts in lightly greased 11x7 pan', 'melt butter and chips on low', 'remove from heat', 'add milk and marshmallows', 'stir well', 'pour over peanuts', 'sprinkle with remaining peanuts', 'chill and cut into bars']",just like a payday candy bar. my family eats this up!!,"['salted peanuts', 'butter', 'peanut butter chips', 'sweetened condensed milk', 'miniature marshmallows']",,"""1 cup salted peanuts, 1/2 cup butter, 1 cup peanut butter chips, 1 cup sweetened condensed milk, 1 cup miniature marshmallows""","""240g salted peanuts, 120g butter, 240g peanut butter chips, 240g sweetened condensed milk, 240g miniature marshmallows"""
ham  solo savory cake,"['time-to-make', 'course', 'preparation', 'snacks', 'dietary', 'high-calcium', 'high-in-something', '4-hours-or-less']","['make the cheese garnish:', 'place 1 cups of cheddar cheese in a microwave safe bowl and microwave in 15 second intervals , stirring in between , until smooth and pliable', 'scoop the cheese into the mold , pressing and spreading into the bottom', 'you dont want to fill the entire mold - just the han solo indentations and enough to cover the entire rectangle', 'microwave for 15 seconds then tap on the counter', 'freeze until solid at least 1 hour', 'carefully remove the cheese from the mold and set aside in the fridge', 'make the savory cake:', 'preheat the oven to 350 degrees f', 'line a 7x11 inch cake pan with parchment paper and spray with nonstick spray', 'combine the bisquick , milk , sugar , egg , and salt in a large bowl and beat with an electric hand mixer until combined', 'add the gruyere cheese , sauted onion , ham , and chives and fold with a spatula to combine', 'pour the mixture into the prepared cake pan and bake until lightly golden brown , about 30-35 minutes or until a toothpick comes out clean', 'let the cake cool completely in pan', 'meanwhile , take the han solo cheese garnish out of the fridge and let come to room temperature', 'run a small offset around the edges of the cake and invert onto a cutting board', 'remove parchment paper and then invert again', 'if needed , level the top of the cake with a serrated knife', 'place the cheese garnish on top of the cake and trim the cake with a serrated knife so that the cake and cheese have the same dimensions', 'set the cheese garnish aside and spread the softened butter over the top of the cake', 'place the cheese on top of the butter , pressing to adhere', 'transfer the cake to a platter and serve with more ham and butter']","carbonite takes the shape of cheese in this flavorful savory cake, inspired by han solo.","['shredded cheddar cheese', 'nonstick cooking spray', 'bisquick', 'milk', 'sugar', 'egg', 'salt', 'gruyere cheese', 'red onion', 'deli ham', 'chives', 'unsalted butter']",,"""1 cup shredded cheddar cheese, 1/2 tsp salt, 1/4 cup unsalted butter, 1 cup milk, 2 cups bisquick, 1/2 cup sugar, 1 egg, 1/4 cup gruyere cheese, 1/4 cup shredded cheddar cheese, 1/4 cup diced red onion, 1/4 cup diced deli ham, 1/4 cup chopped chives""","""240g shredded cheddar cheese, 2.5g salt, 60g unsalted butter, 240g milk, 400g bisquick, 100g sugar, 1 egg, 120g gruyere cheese, 120g shredded cheddar cheese, 60g diced red onion, 60g diced deli ham, 60g chopped chives"""
pancakes  in a bowl,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'for-1-or-2', 'low-protein', 'pancakes-and-waffles', 'breakfast', 'easy', 'beginner-cook', 'kid-friendly', 'dietary', 'low-cholesterol', 'inexpensive', 'low-in-something', 'brunch', 'to-go', 'number-of-servings']","['combine the bisquick heart smart and water or milk', 'stir well', 'microwave on high for 2 minutes', 'top with powdered sugar , syrup , fruit , or whatever you would like !']","this is just a random recipe that i decided to try while i was in one of my experimental moods in the kitchen!  it's great plain, but i like it with a sprinkling of powdered sugar or syrup!  :)","['bisquick', 'water', 'powdered sugar', 'syrup', 'fruit']",,"""1 package bisquick, 1/2 cup water, 1 cup powdered sugar, 1/4 cup syrup, 1 cup fruit""","""250g bisquick, 120g water, 200g powdered sugar, 60g syrup, 200g fruit"""
hershey s special dark  chocolate chip cookies,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'for-large-groups', 'desserts', 'american', 'cookies-and-brownies', 'chocolate', 'dietary', 'comfort-food', 'brown-bag', 'taste-mood', 'to-go', 'number-of-servings', 'presentation', 'served-cold']","['heat oven to 350f', 'beat butter and shortening in large bowl until well blended', 'add brown sugar and granulated sugar', 'beat thoroughly', 'add sugar and vanilla , beating until well blended', 'combine flour , baking soda & salt', 'gradually beat into butter mixture', 'stir in chocolate chips and nuts , if desired', 'drop by teaspoons onto greased cookie sheet', 'bake 10-12 minutes or until lightly browned', 'cool slightly', 'remove from cookie sheet to wire rack', 'cool completely', 'serve with ice cold milk and enjoy']",found this on the hershey's site.  hershey's and i go way back.,"['butter', 'butter flavor shortening', 'light brown sugar', 'granulated sugar', 'egg', 'vanilla extract', 'all-purpose flour', 'baking soda', 'salt', 'dark chocolate chips', 'nuts']",,"""2 cups all-purpose flour, 1 tsp baking soda, 1 tsp salt, 1 cup dark chocolate chips, 1/2 cup nuts, 1/2 cup butter, 1/4 cup light brown sugar, 1/4 cup granulated sugar, 1 egg, 1 tsp vanilla extract""","""400g all-purpose flour, 6g baking soda, 6g salt, 120g dark chocolate chips, 60g nuts, 120g butter, 120g light brown sugar, 120g granulated sugar, 60g egg, 6g vanilla extract"""
the gumbo pages  traditional red beans and rice,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'north-american', 'main-dish', 'beans', 'american', 'cajun', 'southern-united-states', '1-day-or-more', 'easy', 'beginner-cook', 'creole', 'dietary', 'one-dish-meal', 'low-saturated-fat', 'low-calorie', 'low-carb', 'inexpensive', 'low-in-something']","['soak the beans overnight , if possible', 'the next day , drain and put fresh water in the pot', 'bring the beans to a rolling boil', 'make sure the beans are always covered by water , or they will discolor and get hard', 'boil the beans for about 45 - 60 minutes , until the beans are tender but not falling apart', 'drain', 'while the beans are boiling , saut the trinity until the onions turn translucent', 'add the garlic and saute for 2 more minutes , stirring occasionally', 'after the beans are boiled and drained , add the sauted vegetables to the beans , then add the liquid smoke , smoked sausage / turkey sausage , seasonings , and just enough water to cover', 'bring to a boil , then reduce heat to a low simmer', 'cook uncovered for 2 hours at least , preferably 3 , until the whole thing gets nice and creamy', 'i taste the broth at around 1', '5 hours and adjust seasonings as they cook down', ""stir occasionally , making sure that it doesn't burn and / or stick to the bottom of the pot"", 'make sure the beans are reasonably fresh', ""if it's still not getting creamy , take 1 or 2 cups of beans out and mash them , then return them to the pot and stir"", 'if you can -- let the beans cool , stick them in the fridge , and reheat and serve for dinner the next day', ""they'll taste a lot better"", ""when you do this , you'll need to add a little water to get them to the right consistency"", 'serve generous ladles-ful over hot white long-grain rice , with good french bread', 'i also have a bottle of hot sauce on the side for those who like it spicy !']","this recipe comes from ""the gumbo pages"" and it's the best basic recipe i've come across.  i tweaked it a bit to make it healthier by omitting the smoked meat and substituting liquid smoke and using the turkey sausage.  i have put the traditional notes on the ingredients as well.  it also has a very good vegetarian version i will post.  once you have the basics, you can taste and tweak it to you and your family's tastes as the beans cook down.","['red beans', 'onion', 'bell pepper', 'celery ribs', 'garlic cloves', 'liquid smoke', 'smoked turkey sausage', 'dried thyme leaves', 'bay leaf', 'crystal hot sauce', 'worcestershire sauce', 'creole seasoning', 'salt', 'cooked rice']",,"""1 cup cooked red beans, 1 onion, 1 bell pepper, 2 celery ribs, 3 garlic cloves, 2 tbsp liquid smoke, 1 smoked turkey sausage, 1 tsp dried thyme leaves, 1 bay leaf, 2 tbsp crystal hot sauce, 1 tbsp worcestershire sauce, 1 tsp creole seasoning, 1/2 tsp salt, 1 cup cooked rice""","""400g cooked red beans, 200g onion, 150g bell pepper, 80g celery ribs, 40g garlic cloves, 30g liquid smoke, 60g smoked turkey sausage, 5g dried thyme leaves, 2g bay leaf, 30g crystal hot sauce, 15g worcestershire sauce, 5g creole seasoning, 2.5g salt, 200g cooked rice"""
wicked  chocolate chip muffins,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'kid-friendly', 'cakes', 'chocolate', 'dietary', 'high-calcium', 'high-in-something']","['pre-heat oven to 375 degrees', 'grease and flour your muffin tray', 'mix togeher the dry ingrediants & the chocolate chips in a medium bowl', 'mix togeher , butter , egg & milk , and add to dry mixture', 'do not over mix , 30 strokes should do it', 'fill muffin tins 3 / 4 full and bake for 20 minutes', 'enjoy !']","i found this recipe in and 'old school"" muffin mania cookbook, tried it this evening with the kids and it was a huge hit. really nice texture, light & fluffy. a+ in my book.","['flour', 'sugar', 'baking powder', 'chocolate chips', 'butter', 'egg', 'milk']",,"""1 cup flour, 1 cup sugar, 2 tsp baking powder, 1 cup chocolate chips, 1/2 cup butter, 1 egg, 1/2 cup milk""","""400g flour, 200g sugar, 10g baking powder, 250g chocolate chips, 120g butter, 50g egg, 120g milk"""
starbucks  oat fudge bars,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cookies-and-brownies', 'bar-cookies']","['cream butter , sugar and eggs', 'mix flour , soda and oats and add slowly to creamed mixture', 'spread 3 / 4 of this into 9x13 pan', 'melt remaining ingredients in a saucepan and pour over dough in pan', 'blob the remaining oat mixture on top', 'bake at 350 for 25 minutes']",i am always tempted to buy these at starbucks so when a friend brought these to a cookie exchange i was quite excited!,"['sugar', 'brown sugar', 'butter', 'eggs', 'flour', 'baking soda', 'oats', 'sweetened condensed milk', 'chocolate chips', 'vanilla']",,"""1 cup sugar, 1/2 cup brown sugar, 1/2 cup butter, 2 eggs, 2 cups flour, 2 tsp baking soda, 1 cup oats, 1 can sweetened condensed milk, 1 cup chocolate chips, 1 tsp vanilla""","""400g sugar, 125g brown sugar, 120g butter, 120g eggs, 240g flour, 10g baking soda, 120g oats, 400g sweetened condensed milk, 240g chocolate chips, 5g vanilla"""
lite  tortillas,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'flat-shapes', 'breads', 'lunch', 'easy', 'finger-food', 'kid-friendly', 'stove-top', 'dietary', 'low-cholesterol', 'toddler-friendly', 'low-in-something', 'equipment', 'presentation']","['in a large bowl mix flour and baking powder', 'in a two cup measuring cup combine 1 cup of water and salt', 'add 1 / 3 cup of olive oil', 'pour water and olive oil all at once into the flour mixture and mix with a spoon or your hand quickly', 'when dough comes together , knead only until the dough is smooth', 'if your dough is too sticky add more flour 1 tablespoon at a time until it is no longer sticky', 'divide into 12-16 equal pieces and let it rest for 30 minutes', 'roll the dough balls out to a 6-7 inch circle for 16 pieces and 8-9 inch circle for 12 pieces on a floured surface', 'heat an iron skillet over medium heat and place tortilla in the ungreased skillet one at a time', 'the tortilla will form bubbles all over it', 'if they grow bigger than quarter pop them', 'when the spots are lightly browned turn over to brown other side', 'remove to a covered dish', ""you may need more flour than usual on your surface because these tortillas are slightly more soft which makes them easier to roll but also sticky if you don't use enough flour"", 'i place a paper towel or cloth in the bottom of the warmer before i start adding the tortillas to prevent the bottom one from getting soggy from steam', 'if you like the fluffy tortillas like on a muchaco or gordita at chain resturaunts you can add baking powder to this and make circles slightly smaller', 'they can also be deep fried into taco shell shapes after they are grilled']",i like this recipe for tortillas because the olive oil is much lighter (reason for the name) than the usual fats used to make them. i got the this recipe from a woman at a shower (or something very close to it...lol).,"['unbleached flour', 'salt', 'baking powder', 'olive oil', 'water']",,"""2 cups unbleached flour, 1 tsp salt""","""400g unbleached flour, 6g salt"""
healthy  5 minute mug cake,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-1-or-2', 'desserts', 'easy', 'beginner-cook', 'cakes', 'dietary', 'low-sodium', 'low-in-something', 'number-of-servings']","['mix dry ingredients well in a large mug', 'add all wet ingredients to mug and mix until batter is smooth', 'place in microwave for approximately 3 minutes on high', 'carefully remove mug and allow 2 minutes for the cake to cool , then flip over onto a plate and enjoy !']","i have revamped the original ""5-minute mug cake"" recipe by replacing just  few ingredients so that it could be enjoyed with less guilt!","['white flour', 'whole wheat flour', 'dark unsweetened cocoa', 'raw sugar', 'egg', 'canola oil', 'applesauce', 'dark chocolate chips', 'vanilla extract']",,"""1 cup white flour, 1 cup whole wheat flour, 1/2 cup dark unsweetened cocoa, 1 cup raw sugar, 2 eggs, 1/4 cup canola oil, 1/4 cup applesauce, 1/2 cup dark chocolate chips, 1 tsp vanilla extract""","""400g white flour, 400g whole wheat flour, 120g dark unsweetened cocoa, 400g raw sugar, 120g eggs, 60g canola oil, 60g applesauce, 120g dark chocolate chips, 5g vanilla extract"""
no egg  tomato soup cake,"['time-to-make', 'course', 'preparation', 'low-protein', 'desserts', 'easy', 'beginner-cook', 'kid-friendly', 'cakes', 'dietary', 'inexpensive', 'toddler-friendly', 'low-in-something', '4-hours-or-less']","['cream butter and sugar together', 'add tomato soup', 'add water , rinsing can', 'sift dry ingredients together', 'add dry ingredients to creamed product', 'spray generously loaf pan with butter and flour spray', 'pour batter into pan', 'bake at 350 degrees for 1 hour', 'let cool for 10 minutes and remove from pan']","most of these cakes listed include eggs.  this has been in my family for over 50 years, and is always well-received.  it is baked in a loaf pan, and iced with either cream cheese or plain white icing.","['white sugar', 'butter', 'tomato soup', 'water', 'flour', 'baking soda', 'cinnamon', 'ground cloves', 'nutmeg', 'salt', 'raisins', 'chocolate chips']",,"""2 cups white sugar, 1/2 cup butter, 2 cups tomato soup, 2 cups water, 2 cups flour, 2 tsp baking soda, 1 tsp cinnamon, 1/2 tsp ground cloves, 1/2 tsp nutmeg, 1 tsp salt, 1 cup raisins, 1 cup chocolate chips""","""400g white sugar, 120g butter, 480ml tomato soup, 480ml water, 400g flour, 10g baking soda, 5g cinnamon, 2.5g ground cloves, 2.5g nutmeg, 5g salt, 200g raisins, 200g chocolate chips"""
